Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:33.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74401E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.7250	 	 	 	 	-0.005985
 0.7500	-0.001494	-0.054791	-0.010803	-0.162796	 0.034399
 0.7750	 	 	 	 	 0.069515
 0.8000	-0.002446	 0.020036	-0.016226	-0.055756	 0.077523
 0.8250	 	 	 	 	 0.053093
 0.8500	 0.000506	 0.086872	-0.014215	 0.138571	 0.009311
 0.8750	 	 	 	 	-0.045552
 0.9000	 0.003758	 0.027619	-0.002742	 0.328067	-0.077941
 0.9250	 	 	 	 	-0.079918
 0.9500	 0.001070	-0.130920	 0.016563	 0.458446	-0.047837
 0.9750	 	 	 	 	 0.085922
 1.0000	-0.010040	-0.271425	 0.041170	 0.536436	 0.152807


 -------- Mode No.  12  (freq = 0.22488E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000712
 0.0500	-0.000111	-0.004474	 0.000467	 0.018713	-0.001211
 0.0750	 	 	 	 	-0.001854
 0.1000	-0.000380	-0.006606	 0.001611	 0.027945	-0.002408
 0.1250	 	 	 	 	-0.004157
 0.1500	-0.000605	-0.002648	 0.002530	 0.008920	-0.006113
 0.1750	 	 	 	 	-0.009284
 0.2000	-0.000657	 0.000046	 0.002452	-0.013086	-0.012871
 0.2250	 	 	 	 	-0.027786
 0.2500	-0.000618	 0.001646	 0.001400	-0.031414	-0.040359
 0.2750	 	 	 	 	-0.053514
 0.3000	-0.000569	 0.000386	-0.000196	-0.035784	-0.066153
 0.3250	 	 	 	 	-0.077180
 0.3500	-0.000639	-0.002807	-0.001611	-0.024173	-0.083889
 0.3750	 	 	 	 	-0.088040
 0.4000	-0.000839	-0.004410	-0.002159	-0.001006	-0.092595
 0.4250	 	 	 	 	-0.093785
 0.4500	-0.001100	-0.005034	-0.001467	 0.026663	-0.093838
 0.4750	 	 	 	 	-0.089425
 0.5000	-0.001243	-0.000523	 0.000474	 0.049561	-0.082900
 0.5250	 	 	 	 	-0.071981
 0.5500	-0.001226	 0.000992	 0.003127	 0.055426	-0.064959
 0.5750	 	 	 	 	-0.059870
 0.6000	-0.001131	 0.002577	 0.005503	 0.038635	-0.056710
 0.6250	 	 	 	 	-0.062171
 0.6500	-0.000985	 0.004650	 0.006402	-0.004569	-0.070167
 0.6750	 	 	 	 	-0.074943
 0.7000	-0.000684	 0.007014	 0.004869	-0.059315	-0.077019
 0.7250	 	 	 	 	-0.074480
 0.7500	-0.000279	 0.010259	 0.000952	-0.100821	-0.066382
 0.7750	 	 	 	 	-0.048233
 0.8000	 0.000220	 0.012634	-0.004160	-0.106141	-0.023865
 0.8250	 	 	 	 	 0.017822
 0.8500	 0.000773	 0.011449	-0.008040	-0.048841	 0.057685
 0.8750	 	 	 	 	 0.102374
 0.9000	 0.001314	 0.010005	-0.008001	 0.049881	 0.141202
 0.9250	 	 	 	 	 0.187276
 0.9500	 0.001599	 0.003274	-0.002858	 0.154436	 0.222651
 0.9750	 	 	 	 	 0.280799
 1.0000	 0.001701	-0.001768	 0.007585	 0.249746	 0.299065


 -------- Mode No.  13  (freq = 0.23343E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.001982
 0.0500	-0.000206	-0.007962	-0.000040	-0.001539	 0.003947
 0.0750	 	 	 	 	 0.007485
 0.1000	-0.000803	-0.015785	-0.000157	-0.003106	 0.010860
 0.1250	 	 	 	 	 0.018195
 0.1500	-0.001629	-0.017001	-0.000319	-0.003286	 0.024510
 0.1750	 	 	 	 	 0.031220
 0.2000	-0.002246	-0.007605	-0.000433	-0.001285	 0.035243
 0.2250	 	 	 	 	 0.043506
 0.2500	-0.002122	 0.012562	-0.000397	 0.002721	 0.034513
 0.2750	 	 	 	 	 0.006239
 0.3000	-0.001084	 0.028474	-0.000184	 0.005698	-0.033507
 0.3250	 	 	 	 	-0.080471
 0.3500	 0.000311	 0.026421	 0.000093	 0.005303	-0.122783
 0.3750	 	 	 	 	-0.156971
 0.4000	 0.001062	 0.002936	 0.000258	 0.001273	-0.171141
 0.4250	 	 	 	 	-0.164496
 0.4500	 0.000338	-0.031334	 0.000178	-0.004326	-0.140803
 0.4750	 	 	 	 	-0.097592
 0.5000	-0.001737	-0.048791	-0.000126	-0.007459	-0.050641
 0.5250	 	 	 	 	-0.002083
 0.5500	-0.003515	-0.018555	-0.000434	-0.004600	 0.027594
 0.5750	 	 	 	 	 0.034402
 0.6000	-0.002655	 0.051851	-0.000471	 0.002826	 0.011892
 0.6250	 	 	 	 	-0.044278
 0.6500	 0.001059	 0.086443	-0.000184	 0.007829	-0.104105
 0.6750	 	 	 	 	-0.164128
 0.7000	 0.003476	 0.000396	 0.000137	 0.004659	-0.179426
 0.7250	 	 	 	 	-0.134536
 0.7500	 0.000310	-0.112754	 0.000208	-0.000870	-0.045741
 0.7750	 	 	 	 	 0.084069
 0.8000	-0.004412	-0.052113	 0.000144	-0.000875	 0.174626
 0.8250	 	 	 	 	 0.212110
 0.8500	-0.002060	 0.137783	 0.000154	 0.000709	 0.163522
 0.8750	 	 	 	 	 0.044156
 0.9000	 0.005765	 0.132627	 0.000123	-0.002804	-0.058544
 0.9250	 	 	 	 	-0.109169
 0.9500	 0.004921	-0.169846	-0.000163	-0.008314	-0.055397
 0.9750	 	 	 	 	 0.276795
 1.0000	-0.014560	-0.500930	-0.000663	-0.011230	 0.456792


 -------- Mode No.  14  (freq = 0.26906E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000082
 0.0500	 0.000011	 0.000441	 0.000001	 0.000057	 0.000162
 0.0750	 	 	 	 	 0.000308
 0.1000	 0.000046	 0.000966	 0.000006	 0.000138	 0.000455
 0.1250	 	 	 	 	 0.000829
 0.1500	 0.000104	 0.001377	 0.000015	 0.000208	 0.001249
 0.1750	 	 	 	 	 0.001937
 0.2000	 0.000173	 0.001516	 0.000025	 0.000238	 0.002773
 0.2250	 	 	 	 	 0.009187
 0.2500	 0.000251	 0.001829	 0.000038	 0.000300	 0.016227
 0.2750	 	 	 	 	 0.024733
 0.3000	 0.000360	 0.002829	 0.000056	 0.000460	 0.032808
 0.3250	 	 	 	 	 0.040615
 0.3500	 0.000532	 0.004368	 0.000083	 0.000654	 0.047442
 0.3750	 	 	 	 	 0.054128
 0.4000	 0.000774	 0.005606	 0.000117	 0.000737	 0.060060
 0.4250	 	 	 	 	 0.065927
 0.4500	 0.001045	 0.005482	 0.000149	 0.000542	 0.072663
 0.4750	 	 	 	 	 0.082430
 0.5000	 0.001270	 0.003888	 0.000164	 0.000082	 0.093677
 0.5250	 	 	 	 	 0.108529
 0.5500	 0.001415	 0.002588	 0.000156	-0.000355	 0.123724
 0.5750	 	 	 	 	 0.142256
 0.6000	 0.001563	 0.004079	 0.000134	-0.000484	 0.158309
 0.6250	 	 	 	 	 0.175195
 0.6500	 0.001843	 0.007216	 0.000114	-0.000350	 0.186852
 0.6750	 	 	 	 	 0.196373
 0.7000	 0.002155	 0.004223	 0.000098	-0.000410	 0.200356
 0.7250	 	 	 	 	 0.199906
 0.7500	 0.002043	-0.009444	 0.000069	-0.000773	 0.194390
 0.7750	 	 	 	 	 0.179770
 0.8000	 0.001247	-0.021796	 0.000029	-0.000815	 0.156209
 0.8250	 	 	 	 	 0.107690
 0.8500	 0.000138	-0.022871	 0.000001	-0.000330	 0.047844
 0.8750	 	 	 	 	-0.035135
 0.9000	-0.000870	-0.020371	-0.000002	 0.000109	-0.116799
 0.9250	 	 	 	 	-0.218490
 0.9500	-0.001949	-0.025685	 0.000008	 0.000266	-0.295130
 0.9750	 	 	 	 	-0.444467
 1.0000	-0.003439	-0.033646	 0.000023	 0.000353	-0.496443


 -------- Mode No.  15  (freq = 0.29169E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.001892
 0.0500	-0.000124	-0.004721	-0.000188	-0.007184	 0.003762
 0.0750	 	 	 	 	 0.007098
 0.1000	-0.000470	-0.008826	-0.000675	-0.012192	 0.010223
 0.1250	 	 	 	 	 0.016790
 0.1500	-0.000882	-0.007243	-0.001266	-0.011193	 0.022131
 0.1750	 	 	 	 	 0.027170
 0.2000	-0.001040	 0.001099	-0.001623	-0.003060	 0.029283
 0.2250	 	 	 	 	 0.025193
 0.2500	-0.000668	 0.013321	-0.001445	 0.010256	 0.006814
 0.2750	 	 	 	 	-0.025504
 0.3000	 0.000081	 0.015502	-0.000678	 0.020545	-0.059137
 0.3250	 	 	 	 	-0.087213
 0.3500	 0.000554	 0.002559	 0.000370	 0.021685	-0.099942
 0.3750	 	 	 	 	-0.093031
 0.4000	 0.000192	-0.016465	 0.001224	 0.012970	-0.066702
 0.4250	 	 	 	 	-0.028365
 0.4500	-0.000837	-0.022247	 0.001501	-0.001414	 0.012335
 0.4750	 	 	 	 	 0.054140
 0.5000	-0.001414	 0.001761	 0.001082	-0.015177	 0.078684
 0.5250	 	 	 	 	 0.083168
 0.5500	-0.000284	 0.041984	 0.000154	-0.022463	 0.066535
 0.5750	 	 	 	 	 0.031463
 0.6000	 0.002076	 0.045829	-0.000940	-0.022026	 0.001623
 0.6250	 	 	 	 	-0.011150
 0.6500	 0.002858	-0.016347	-0.001773	-0.011245	 0.011938
 0.6750	 	 	 	 	 0.085612
 0.7000	 0.000501	-0.062524	-0.001788	 0.011703	 0.169654
 0.7250	 	 	 	 	 0.251357
 0.7500	-0.000886	 0.017590	-0.000538	 0.038325	 0.270372
 0.7750	 	 	 	 	 0.211242
 0.8000	 0.002075	 0.079635	 0.001563	 0.043745	 0.109660
 0.8250	 	 	 	 	-0.024530
 0.8500	 0.003426	-0.042996	 0.002914	 0.008303	-0.086596
 0.8750	 	 	 	 	-0.065473
 0.9000	-0.002115	-0.144790	 0.001951	-0.046549	-0.004025
 0.9250	 	 	 	 	 0.040831
 0.9500	-0.005070	 0.047536	-0.001490	-0.090844	-0.013264
 0.9750	 	 	 	 	-0.387346
 1.0000	 0.007313	 0.344729	-0.006870	-0.120788	-0.595253


 -------- Mode No.  16  (freq = 0.29525E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001697
 0.0500	 0.000210	 0.007994	-0.000276	-0.010543	-0.003367
 0.0750	 	 	 	 	-0.006335
 0.1000	 0.000769	 0.014120	-0.000972	-0.017321	-0.009108
 0.1250	 	 	 	 	-0.014948
 0.1500	 0.001441	 0.012304	-0.001819	-0.016323	-0.019699
 0.1750	 	 	 	 	-0.024188
 0.2000	 0.001781	 0.001102	-0.002382	-0.006166	-0.026053
 0.2250	 	 	 	 	-0.021281
 0.2500	 0.001390	-0.016451	-0.002258	 0.011540	-0.002789
 0.2750	 	 	 	 	 0.029421
 0.3000	 0.000351	-0.024202	-0.001261	 0.029126	 0.062929
 0.3250	 	 	 	 	 0.091079
 0.3500	-0.000620	-0.013973	 0.000380	 0.037393	 0.103894
 0.3750	 	 	 	 	 0.096600
 0.4000	-0.000771	 0.007218	 0.002060	 0.030290	 0.068602
 0.4250	 	 	 	 	 0.027217
 0.4500	-0.000026	 0.020050	 0.002997	 0.007088	-0.018064
 0.4750	 	 	 	 	-0.067257
 0.5000	 0.000675	 0.005143	 0.002529	-0.026271	-0.100315
 0.5250	 	 	 	 	-0.115019
 0.5500	 0.000020	-0.030434	 0.000551	-0.053126	-0.107017
 0.5750	 	 	 	 	-0.078984
 0.6000	-0.001869	-0.038935	-0.002168	-0.055282	-0.050840
 0.6250	 	 	 	 	-0.033257
 0.6500	-0.002595	 0.012415	-0.004093	-0.021399	-0.046135
 0.6750	 	 	 	 	-0.101599
 0.7000	-0.000574	 0.054910	-0.003759	 0.033948	-0.168636
 0.7250	 	 	 	 	-0.234059
 0.7500	 0.000670	-0.015144	-0.000958	 0.076954	-0.245410
 0.7750	 	 	 	 	-0.186147
 0.8000	-0.001974	-0.071620	 0.002991	 0.079694	-0.089793
 0.8250	 	 	 	 	 0.036048
 0.8500	-0.003173	 0.040080	 0.005498	 0.017537	 0.093537
 0.8750	 	 	 	 	 0.072311
 0.9000	 0.001959	 0.134456	 0.003835	-0.085750	 0.012811
 0.9250	 	 	 	 	-0.032240
 0.9500	 0.004780	-0.040861	-0.002806	-0.178888	 0.016097
 0.9750	 	 	 	 	 0.361743
 1.0000	-0.006440	-0.313362	-0.013541	-0.241738	 0.554610


 -------- Mode No.  17  (freq = 0.35227E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.002920
 0.0500	-0.000234	-0.008822	-0.000052	-0.001943	 0.005786
 0.0750	 	 	 	 	 0.010824
 0.1000	-0.000844	-0.014990	-0.000186	-0.003296	 0.015405
 0.1250	 	 	 	 	 0.024510
 0.1500	-0.001489	-0.010007	-0.000326	-0.002109	 0.031118
 0.1750	 	 	 	 	 0.035628
 0.2000	-0.001618	 0.004877	-0.000346	 0.001299	 0.034663
 0.2250	 	 	 	 	-0.002650
 0.2500	-0.000966	 0.019297	-0.000192	 0.004502	-0.057778
 0.2750	 	 	 	 	-0.125161
 0.3000	-0.000150	 0.010832	 0.000008	 0.003060	-0.174042
 0.3250	 	 	 	 	-0.192349
 0.3500	-0.000244	-0.014703	 0.000040	-0.001727	-0.173577
 0.3750	 	 	 	 	-0.118492
 0.4000	-0.001384	-0.027634	-0.000133	-0.004664	-0.050172
 0.4250	 	 	 	 	 0.007949
 0.4500	-0.002243	-0.003226	-0.000309	-0.001905	 0.039036
 0.4750	 	 	 	 	 0.035488
 0.5000	-0.001237	 0.041136	-0.000248	 0.003998	-0.003013
 0.5250	 	 	 	 	-0.069266
 0.5500	 0.001002	 0.039636	 0.000003	 0.005123	-0.124518
 0.5750	 	 	 	 	-0.150172
 0.6000	 0.001201	-0.032265	 0.000114	-0.000590	-0.120044
 0.6250	 	 	 	 	-0.025280
 0.6500	-0.001551	-0.059210	-0.000019	-0.003279	 0.074450
 0.6750	 	 	 	 	 0.157469
 0.7000	-0.001735	 0.058012	-0.000037	 0.002696	 0.151874
 0.7250	 	 	 	 	 0.051809
 0.7500	 0.002674	 0.083335	 0.000152	 0.003094	-0.055434
 0.7750	 	 	 	 	-0.105434
 0.8000	 0.002524	-0.088374	 0.000107	-0.004546	-0.032568
 0.8250	 	 	 	 	 0.168242
 0.8500	-0.002634	-0.066280	-0.000146	-0.003923	 0.303939
 0.8750	 	 	 	 	 0.273563
 0.9000	 0.000164	 0.148629	-0.000148	 0.003029	 0.077801
 0.9250	 	 	 	 	-0.234022
 0.9500	 0.004399	-0.040529	 0.000059	 0.004854	-0.368392
 0.9750	 	 	 	 	-0.188475
 1.0000	-0.012842	-0.496172	 0.000315	 0.005609	 0.016650


 -------- Mode No.  18  (freq = 0.41674E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.003268
 0.0500	-0.000236	-0.008762	-0.000057	-0.002120	 0.006454
 0.0750	 	 	 	 	 0.011966
 0.1000	-0.000815	-0.013610	-0.000196	-0.003258	 0.016808
 0.1250	 	 	 	 	 0.025806
 0.1500	-0.001326	-0.005920	-0.000317	-0.001349	 0.031413
 0.1750	 	 	 	 	 0.033155
 0.2000	-0.001233	 0.009275	-0.000289	 0.002402	 0.028282
 0.2250	 	 	 	 	-0.036016
 0.2500	-0.000532	 0.015695	-0.000108	 0.004237	-0.107901
 0.2750	 	 	 	 	-0.171688
 0.3000	-0.000186	-0.003943	 0.000022	 0.000606	-0.191189
 0.3250	 	 	 	 	-0.160115
 0.3500	-0.000947	-0.023872	-0.000066	-0.003625	-0.094341
 0.3750	 	 	 	 	-0.011812
 0.4000	-0.001896	-0.009686	-0.000236	-0.002531	 0.042506
 0.4250	 	 	 	 	 0.048978
 0.4500	-0.001363	 0.029759	-0.000226	 0.002735	 0.010720
 0.4750	 	 	 	 	-0.067966
 0.5000	 0.000406	 0.032472	-0.000033	 0.004012	-0.139972
 0.5250	 	 	 	 	-0.179369
 0.5500	 0.000515	-0.029335	 0.000026	-0.001646	-0.156030
 0.5750	 	 	 	 	-0.065868
 0.6000	-0.001865	-0.048944	-0.000138	-0.003367	 0.029267
 0.6250	 	 	 	 	 0.094258
 0.6500	-0.001879	 0.051492	-0.000123	 0.003987	 0.067932
 0.6750	 	 	 	 	-0.055815
 0.7000	 0.001833	 0.061414	 0.000142	 0.004374	-0.161129
 0.7250	 	 	 	 	-0.168105
 0.7500	 0.000815	-0.088894	 0.000117	-0.004472	-0.038069
 0.7750	 	 	 	 	 0.184637
 0.8000	-0.002300	 0.006331	-0.000091	-0.002227	 0.280901
 0.8250	 	 	 	 	 0.165035
 0.8500	 0.002219	 0.118756	-0.000048	 0.002349	-0.055262
 0.8750	 	 	 	 	-0.211634
 0.9000	 0.001947	-0.138197	-0.000008	-0.000536	-0.130452
 0.9250	 	 	 	 	 0.155018
 0.9500	-0.005139	-0.053247	-0.000006	 0.001250	 0.282782
 0.9750	 	 	 	 	-0.065015
 1.0000	 0.008827	 0.444661	 0.000148	 0.003859	-0.389261


 -------- Mode No.  19  (freq = 0.42760E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000457
 0.0500	 0.000071	 0.002676	-0.000338	-0.012591	 0.000905
 0.0750	 	 	 	 	 0.001680
 0.1000	 0.000242	 0.004095	-0.001118	-0.018046	 0.002388
 0.1250	 	 	 	 	 0.003881
 0.1500	 0.000427	 0.003228	-0.001828	-0.009385	 0.005158
 0.1750	 	 	 	 	 0.006619
 0.2000	 0.000526	 0.000746	-0.001856	 0.008693	 0.007856
 0.2250	 	 	 	 	 0.015413
 0.2500	 0.000490	-0.001987	-0.000927	 0.028471	 0.022939
 0.2750	 	 	 	 	 0.031310
 0.3000	 0.000375	-0.002226	 0.000643	 0.033934	 0.038593
 0.3250	 	 	 	 	 0.044887
 0.3500	 0.000335	 0.000948	 0.001966	 0.018575	 0.049961
 0.3750	 	 	 	 	 0.054554
 0.4000	 0.000495	 0.005685	 0.002179	-0.010150	 0.058697
 0.4250	 	 	 	 	 0.063432
 0.4500	 0.000854	 0.008883	 0.001022	-0.035659	 0.069976
 0.4750	 	 	 	 	 0.080595
 0.5000	 0.001302	 0.009447	-0.000903	-0.040254	 0.093229
 0.5250	 	 	 	 	 0.109749
 0.5500	 0.001709	 0.007235	-0.002334	-0.016098	 0.126173
 0.5750	 	 	 	 	 0.145516
 0.6000	 0.001936	 0.001964	-0.002071	 0.026380	 0.161278
 0.6250	 	 	 	 	 0.175300
 0.6500	 0.001824	-0.006433	 0.000103	 0.058205	 0.180013
 0.6750	 	 	 	 	 0.171987
 0.7000	 0.001267	-0.016165	 0.002749	 0.044186	 0.149320
 0.7250	 	 	 	 	 0.101777
 0.7500	 0.000286	-0.024082	 0.003463	-0.016988	 0.043617
 0.7750	 	 	 	 	-0.037373
 0.8000	-0.000947	-0.025662	 0.000894	-0.081682	-0.108840
 0.8250	 	 	 	 	-0.187615
 0.8500	-0.001868	-0.010168	-0.003280	-0.075266	-0.229898
 0.8750	 	 	 	 	-0.233403
 0.9000	-0.001498	 0.025277	-0.004558	 0.028984	-0.191903
 0.9250	 	 	 	 	-0.085949
 0.9500	 0.000556	 0.054953	 0.000244	 0.157663	 0.040024
 0.9750	 	 	 	 	 0.391108
 1.0000	 0.003929	 0.078283	 0.011302	 0.259442	 0.524147


 -------- Mode No.  20  (freq = 0.43906E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000353
 0.0500	 0.000010	 0.000373	-0.000020	-0.000740	-0.000694
 0.0750	 	 	 	 	-0.001281
 0.1000	 0.000030	 0.000354	-0.000066	-0.001083	-0.001814
 0.1250	 	 	 	 	-0.002942
 0.1500	 0.000028	-0.000566	-0.000111	-0.000691	-0.003905
 0.1750	 	 	 	 	-0.004989
 0.2000	-0.000035	-0.002065	-0.000124	 0.000195	-0.005842
 0.2250	 	 	 	 	-0.010202
 0.2500	-0.000180	-0.003852	-0.000090	 0.001149	-0.013979
 0.2750	 	 	 	 	-0.018261
 0.3000	-0.000388	-0.004623	-0.000025	 0.001384	-0.023100
 0.3250	 	 	 	 	-0.029619
 0.3500	-0.000602	-0.004260	 0.000024	 0.000524	-0.037889
 0.3750	 	 	 	 	-0.048858
 0.4000	-0.000794	-0.003908	 0.000010	-0.001144	-0.060324
 0.4250	 	 	 	 	-0.071668
 0.4500	-0.000994	-0.004666	-0.000084	-0.002635	-0.083123
 0.4750	 	 	 	 	-0.096652
 0.5000	-0.001262	-0.006512	-0.000221	-0.002803	-0.109106
 0.5250	 	 	 	 	-0.122695
 0.5500	-0.001597	-0.006987	-0.000318	-0.001004	-0.135228
 0.5750	 	 	 	 	-0.150280
 0.6000	-0.001854	-0.003418	-0.000288	 0.002203	-0.163498
 0.6250	 	 	 	 	-0.176566
 0.6500	-0.001860	 0.002909	-0.000114	 0.004581	-0.181453
 0.6750	 	 	 	 	-0.173684
 0.7000	-0.001503	 0.012255	 0.000100	 0.003814	-0.151275
 0.7250	 	 	 	 	-0.105302
 0.7500	-0.000566	 0.026711	 0.000196	 0.000035	-0.050711
 0.7750	 	 	 	 	 0.024683
 0.8000	 0.000931	 0.032389	 0.000082	-0.004346	 0.094045
 0.8250	 	 	 	 	 0.178501
 0.8500	 0.002070	 0.012053	-0.000162	-0.004680	 0.233075
 0.8750	 	 	 	 	 0.252776
 0.9000	 0.001692	-0.026498	-0.000256	 0.001289	 0.219539
 0.9250	 	 	 	 	 0.110507
 0.9500	-0.000497	-0.060248	 0.000016	 0.009257	-0.028573
 0.9750	 	 	 	 	-0.423825
 1.0000	-0.004494	-0.095350	 0.000679	 0.015622	-0.571916
=================================================================================
