Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:33.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74401E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.5000	-0.017127	-0.058650	-0.000921	-0.001950	 0.089310
 0.5250	 	 	 	 	 0.096093
 0.5500	-0.019639	-0.045827	-0.000971	-0.000135	 0.101823
 0.5750	 	 	 	 	 0.107621
 0.6000	-0.021233	-0.020263	-0.000912	 0.002579	 0.111964
 0.6250	 	 	 	 	 0.115753
 0.6500	-0.021177	 0.022900	-0.000697	 0.006348	 0.117703
 0.6750	 	 	 	 	 0.118291
 0.7000	-0.018428	 0.091510	-0.000274	 0.011157	 0.117181
 0.7250	 	 	 	 	 0.113743
 0.7500	-0.012025	 0.174540	 0.000376	 0.015843	 0.108839
 0.7750	 	 	 	 	 0.100839
 0.8000	-0.001598	 0.258569	 0.001233	 0.019792	 0.092068
 0.8250	 	 	 	 	 0.078891
 0.8500	 0.012755	 0.337304	 0.002258	 0.022771	 0.066179
 0.8750	 	 	 	 	 0.051646
 0.9000	 0.030460	 0.398030	 0.003394	 0.024531	 0.039245
 0.9250	 	 	 	 	 0.025605
 0.9500	 0.050432	 0.432517	 0.004583	 0.025156	 0.015956
 0.9750	 	 	 	 	-0.001227
 1.0000	 0.071634	 0.448774	 0.005791	 0.025441	-0.007435


 -------- Mode No.   4  (freq = 0.43387E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000281
 0.0500	-0.000039	-0.001576	-0.000256	-0.010395	 0.000559
 0.0750	 	 	 	 	 0.001096
 0.1000	-0.000197	-0.004878	-0.001075	-0.023470	 0.001657
 0.1250	 	 	 	 	 0.002939
 0.1500	-0.000539	-0.009202	-0.002630	-0.040934	 0.004204
 0.1750	 	 	 	 	 0.005977
 0.2000	-0.001076	-0.012952	-0.004909	-0.053762	 0.007635
 0.2250	 	 	 	 	 0.018152
 0.2500	-0.001779	-0.015929	-0.007738	-0.063777	 0.027980
 0.2750	 	 	 	 	 0.038863
 0.3000	-0.002554	-0.016034	-0.010905	-0.067908	 0.048729
 0.3250	 	 	 	 	 0.058265
 0.3500	-0.003250	-0.012682	-0.014101	-0.065099	 0.066453
 0.3750	 	 	 	 	 0.074253
 0.4000	-0.003692	-0.005516	-0.016996	-0.055385	 0.080435
 0.4250	 	 	 	 	 0.084922
 0.4500	-0.003680	 0.006116	-0.019255	-0.038645	 0.087414
 0.4750	 	 	 	 	 0.088484
 0.5000	-0.002981	 0.022870	-0.020526	-0.014260	 0.087751
 0.5250	 	 	 	 	 0.085330
 0.5500	-0.001367	 0.043747	-0.020476	 0.016446	 0.081559
 0.5750	 	 	 	 	 0.075700
 0.6000	 0.001255	 0.064021	-0.018779	 0.054327	 0.069078
 0.6250	 	 	 	 	 0.060083
 0.6500	 0.004671	 0.075758	-0.015078	 0.099807	 0.051868
 0.6750	 	 	 	 	 0.041381
 0.7000	 0.008124	 0.064894	-0.009119	 0.148410	 0.032701
 0.7250	 	 	 	 	 0.024091
 0.7500	 0.010251	 0.021070	-0.000841	 0.196507	 0.018686
 0.7750	 	 	 	 	 0.016122
 0.8000	 0.009561	-0.050483	 0.009709	 0.243155	 0.017544
 0.8250	 	 	 	 	 0.024676
 0.8500	 0.004931	-0.140090	 0.022457	 0.287806	 0.035162
 0.8750	 	 	 	 	 0.050784
 0.9000	-0.003952	-0.224577	 0.036963	 0.317026	 0.066798
 0.9250	 	 	 	 	 0.087112
 0.9500	-0.016237	-0.280071	 0.052530	 0.332626	 0.102917
 0.9750	 	 	 	 	 0.133619
 1.0000	-0.030613	-0.308859	 0.068672	 0.340353	 0.145209


 -------- Mode No.   5  (freq = 0.47816E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000452
 0.0500	 0.000129	 0.005222	-0.000046	-0.001870	-0.000905
 0.0750	 	 	 	 	-0.001736
 0.1000	 0.000577	 0.013227	-0.000182	-0.003744	-0.002565
 0.1250	 	 	 	 	-0.004514
 0.1500	 0.001470	 0.023622	-0.000422	-0.006246	-0.006436
 0.1750	 	 	 	 	-0.009044
 0.2000	 0.002808	 0.031796	-0.000760	-0.007842	-0.011559
 0.2250	 	 	 	 	-0.027381
 0.2500	 0.004499	 0.038124	-0.001164	-0.009024	-0.042271
 0.2750	 	 	 	 	-0.058554
 0.3000	 0.006358	 0.038776	-0.001614	-0.009729	-0.073220
 0.3250	 	 	 	 	-0.087045
 0.3500	 0.008084	 0.032631	-0.002083	-0.009823	-0.098707
 0.3750	 	 	 	 	-0.109330
 0.4000	 0.009332	 0.018918	-0.002542	-0.009317	-0.117139
 0.4250	 	 	 	 	-0.122132
 0.4500	 0.009702	-0.003764	-0.002965	-0.008262	-0.124503
 0.4750	 	 	 	 	-0.124326
 0.5000	 0.008736	-0.036371	-0.003321	-0.006437	-0.121309
 0.5250	 	 	 	 	-0.114655
 0.5500	 0.005992	-0.077052	-0.003570	-0.003689	-0.105515
 0.5750	 	 	 	 	-0.091371
 0.6000	 0.001237	-0.118777	-0.003639	 0.001130	-0.075727
 0.6250	 	 	 	 	-0.053963
 0.6500	-0.005246	-0.147215	-0.003395	 0.009395	-0.032704
 0.6750	 	 	 	 	-0.005072
 0.7000	-0.012246	-0.138190	-0.002666	 0.021343	 0.018989
 0.7250	 	 	 	 	 0.044969
 0.7500	-0.017363	-0.069365	-0.001282	 0.036424	 0.063827
 0.7750	 	 	 	 	 0.079005
 0.8000	-0.017790	 0.053465	 0.000868	 0.052965	 0.084776
 0.8250	 	 	 	 	 0.081449
 0.8500	-0.011302	 0.212980	 0.003812	 0.069164	 0.069431
 0.8750	 	 	 	 	 0.047141
 0.9000	 0.002856	 0.366682	 0.007404	 0.079993	 0.021880
 0.9250	 	 	 	 	-0.012420
 0.9500	 0.023235	 0.468789	 0.011373	 0.085285	-0.039794
 0.9750	 	 	 	 	-0.094844
 1.0000	 0.047471	 0.522107	 0.015522	 0.087641	-0.115829


 -------- Mode No.   6  (freq = 0.82471E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000668
 0.0500	-0.000116	-0.004645	-0.000030	-0.001196	 0.001336
 0.0750	 	 	 	 	 0.002560
 0.1000	-0.000506	-0.011278	-0.000129	-0.002864	 0.003773
 0.1250	 	 	 	 	 0.006601
 0.1500	-0.001230	-0.018336	-0.000313	-0.004644	 0.009349
 0.1750	 	 	 	 	 0.012985
 0.2000	-0.002203	-0.021638	-0.000559	-0.005458	 0.016364
 0.2250	 	 	 	 	 0.036578
 0.2500	-0.003210	-0.019500	-0.000813	-0.004978	 0.054356
 0.2750	 	 	 	 	 0.071992
 0.3000	-0.003936	-0.010056	-0.001006	-0.002909	 0.085787
 0.3250	 	 	 	 	 0.096265
 0.3500	-0.004052	 0.005592	-0.001068	 0.000379	 0.102342
 0.3750	 	 	 	 	 0.104375
 0.4000	-0.003301	 0.025630	-0.000953	 0.004389	 0.101897
 0.4250	 	 	 	 	 0.095720
 0.4500	-0.001533	 0.047217	-0.000640	 0.008485	 0.086796
 0.4750	 	 	 	 	 0.073582
 0.5000	 0.001187	 0.064287	-0.000149	 0.011685	 0.059424
 0.5250	 	 	 	 	 0.042733
 0.5500	 0.004392	 0.066566	 0.000444	 0.012683	 0.027960
 0.5750	 	 	 	 	 0.013116
 0.6000	 0.007076	 0.042511	 0.001007	 0.010498	 0.003723
 0.6250	 	 	 	 	-0.000788
 0.6500	 0.007786	-0.013656	 0.001377	 0.004926	 0.002787
 0.6750	 	 	 	 	 0.018173
 0.7000	 0.005133	-0.092378	 0.001418	-0.002881	 0.041515
 0.7250	 	 	 	 	 0.079572
 0.7500	-0.000692	-0.139684	 0.001103	-0.009661	 0.119644
 0.7750	 	 	 	 	 0.169502
 0.8000	-0.006930	-0.108170	 0.000523	-0.013996	 0.210490
 0.8250	 	 	 	 	 0.252842
 0.8500	-0.009286	 0.016599	-0.000214	-0.016508	 0.276225
 0.8750	 	 	 	 	 0.282444
 0.9000	-0.004029	 0.195793	-0.001024	-0.017376	 0.270594
 0.9250	 	 	 	 	 0.238804
 0.9500	 0.009418	 0.344077	-0.001873	-0.018195	 0.205136
 0.9750	 	 	 	 	 0.124108
 1.0000	 0.028904	 0.431628	-0.002771	-0.019050	 0.090448


 -------- Mode No.   7  (freq = 0.10118E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000050
 0.0500	-0.000092	-0.003689	 0.000480	 0.019142	-0.000102
 0.0750	 	 	 	 	-0.000199
 0.1000	-0.000362	-0.007386	 0.001909	 0.039349	-0.000294
 0.1250	 	 	 	 	-0.000507
 0.1500	-0.000817	-0.011273	 0.004327	 0.059708	-0.000698
 0.1750	 	 	 	 	-0.000925
 0.2000	-0.001401	-0.012866	 0.007388	 0.066449	-0.001100
 0.2250	 	 	 	 	-0.002125
 0.2500	-0.002013	-0.012396	 0.010441	 0.059271	-0.003050
 0.2750	 	 	 	 	-0.004121
 0.3000	-0.002533	-0.008968	 0.012778	 0.036844	-0.005292
 0.3250	 	 	 	 	-0.006831
 0.3500	-0.002819	-0.002684	 0.013745	 0.002695	-0.008830
 0.3750	 	 	 	 	-0.011776
 0.4000	-0.002745	 0.005924	 0.012902	-0.038000	-0.015467
 0.4250	 	 	 	 	-0.019939
 0.4500	-0.002212	 0.016264	 0.010065	-0.079808	-0.025164
 0.4750	 	 	 	 	-0.032411
 0.5000	-0.001168	 0.026801	 0.005309	-0.117240	-0.040165
 0.5250	 	 	 	 	-0.049663
 0.5500	 0.000309	 0.033754	-0.000939	-0.141478	-0.058628
 0.5750	 	 	 	 	-0.068684
 0.6000	 0.001906	 0.031301	-0.007896	-0.146217	-0.076493
 0.6250	 	 	 	 	-0.083075
 0.6500	 0.003008	 0.013217	-0.014399	-0.122092	-0.085340
 0.6750	 	 	 	 	-0.082443
 0.7000	 0.002785	-0.022093	-0.018907	-0.063456	-0.074050
 0.7250	 	 	 	 	-0.056964
 0.7500	 0.000854	-0.054505	-0.019762	 0.028862	-0.036409
 0.7750	 	 	 	 	-0.008009
 0.8000	-0.001968	-0.057146	-0.015406	 0.151247	 0.017841
 0.8250	 	 	 	 	 0.048150
 0.8500	-0.003841	-0.016346	-0.004546	 0.295889	 0.068841
 0.8750	 	 	 	 	 0.081711
 0.9000	-0.002836	 0.056570	 0.012503	 0.407276	 0.083189
 0.9250	 	 	 	 	 0.074249
 0.9500	 0.001657	 0.121776	 0.033792	 0.472697	 0.061243
 0.9750	 	 	 	 	 0.025718
 1.0000	 0.008862	 0.161675	 0.057574	 0.507879	 0.010222


