Blade section properties
49	n_secs:	number of blade or tower sections at which properties are specified (-)

sec_loc	str_tw	tw_iner	mass_den	flp_iner	edge_iner	flp_stff	edge_stff	tor_stff	axial_stff	cg_offst	sc_offst	tc_offst
(-)	(deg)	(deg)	(kg/m)		(kg-m)		(kg-m)		(Nm^2)		(Nm^2)		(Nm^2)		(N)		(m)		(m)		(m)
0.75122	  2.523	  2.523	 138.94		    0.56	   20.49	9.09E+07	7.98E+08	1.96E+07	1.81E+09	5.72E-01	1.79E-01	0.00E+00
0.78376	  2.159	  2.159	 129.56		    0.52	   17.60	7.63E+07	7.10E+08	1.73E+07	1.68E+09	5.49E-01	1.86E-01	0.00E+00
0.81626	  1.790	  1.790	 107.26		    0.43	   13.38	6.11E+07	5.18E+08	1.27E+07	1.39E+09	5.27E-01	1.91E-01	0.00E+00
0.84878	  1.421	  1.421	  98.78		    0.40	   11.27	4.95E+07	4.55E+08	1.11E+07	1.28E+09	5.04E-01	1.95E-01	0.00E+00
0.88130	  1.046	  1.046	  90.25		    0.36	    9.42	3.94E+07	3.95E+08	9.56E+06	1.17E+09	4.82E-01	1.98E-01	0.00E+00
0.89756	  0.862	  0.862	  83.00		    0.33	    8.25	3.47E+07	3.54E+08	8.54E+06	1.08E+09	4.70E-01	1.99E-01	0.00E+00
0.91382	  0.680	  0.680	  72.91		    0.29	    6.85	3.04E+07	3.05E+08	7.37E+06	9.48E+08	4.57E-01	1.99E-01	0.00E+00
0.93008	  0.491	  0.491	  68.77		    0.28	    6.09	2.65E+07	2.81E+08	6.77E+06	8.94E+08	4.44E-01	1.99E-01	0.00E+00
0.93821	  0.403	  0.403	  66.26		    0.27	    5.67	2.38E+07	2.62E+08	6.28E+06	8.61E+08	4.36E-01	1.98E-01	0.00E+00
0.94636	  0.323	  0.323	  59.34		    0.24	    4.86	1.96E+07	1.59E+08	3.93E+06	7.71E+08	4.27E-01	1.96E-01	0.00E+00
0.95447	  0.257	  0.257	  55.91		    0.22	    4.35	1.60E+07	1.38E+08	3.39E+06	7.27E+08	4.16E-01	1.94E-01	0.00E+00
0.96260	  0.199	  0.199	  52.48		    0.21	    3.79	1.28E+07	1.19E+08	2.90E+06	6.82E+08	4.01E-01	1.89E-01	0.00E+00
0.97073	  0.145	  0.145	  49.11		    0.20	    3.21	1.01E+07	1.02E+08	2.46E+06	6.38E+08	3.81E-01	1.82E-01	0.00E+00
0.97886	  0.096	  0.096	  45.82		    0.18	    2.64	7.55E+06	8.51E+07	2.04E+06	5.96E+08	3.58E-01	1.73E-01	0.00E+00
0.98699	  0.053	  0.053	  41.67		    0.17	    2.06	4.60E+06	6.43E+07	1.51E+06	5.42E+08	3.31E-01	1.62E-01	0.00E+00
0.99512	  0.017	  0.017	  11.45		    0.05	    0.47	2.50E+05	6.61E+06	1.51E+05	1.49E+08	3.02E-01	1.50E-01	0.00E+00
1.00000	  0.000	  0.000	  10.32		    0.04	    0.37	1.70E+05	5.01E+06	1.14E+05	1.34E+08	2.84E-01	1.42E-01	0.00E+00
