Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:32.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.33835E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.5000	 0.073914	 0.122802	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.078873	 0.074528	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.081175	 0.016964	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.080404	-0.047867	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.076261	-0.117335	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.068596	-0.188107	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.057441	-0.256252	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.043034	-0.317537	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.025834	-0.367362	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.006535	-0.400901	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.013923	-0.413287	 0.000000	 0.000000	 0.000000


 -------- Mode No.   4  (freq = 0.30750E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.001392	 0.054017	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	 0.005319	 0.101307	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	 0.011418	 0.140800	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	 0.019272	 0.171401	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	 0.028408	 0.192048	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	 0.038304	 0.201813	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	 0.048398	 0.199992	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	 0.058098	 0.186176	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	 0.066802	 0.160317	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	 0.073914	 0.122802	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	 0.078873	 0.074528	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	 0.081175	 0.016964	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	 0.080404	-0.047867	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	 0.076261	-0.117335	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	 0.068596	-0.188107	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.057441	-0.256252	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.043034	-0.317537	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.025834	-0.367362	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.006535	-0.400901	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	-0.013923	-0.413287	 0.000000


