Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:32.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.33835E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.8500	 0.022181	 0.221582	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.026901	-0.041014	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.017821	-0.305032	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.001264	-0.420931	 0.000000	 0.000000	 0.000000


 -------- Mode No.  12  (freq = 0.31870E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	-0.003731	-0.131220	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	-0.011461	-0.160593	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	-0.018193	-0.095691	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	-0.019927	 0.031052	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	-0.014862	 0.166194	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	-0.004090	 0.250829	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	 0.008672	 0.242346	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	 0.018408	 0.133485	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	 0.020826	-0.040201	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	 0.014331	-0.210001	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	 0.001082	-0.299925	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	-0.013491	-0.260441	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	-0.022765	-0.095753	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	-0.021884	 0.129690	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	-0.010355	 0.312424	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.007090	 0.355868	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.022181	 0.221582	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.026901	-0.041014	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.017821	-0.305032	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	-0.001264	-0.420931	 0.000000


 -------- Mode No.  13  (freq = 0.36208E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.016365
 0.0500	 0.000000	 0.000000	 0.000000	 0.000000	 0.032527
 0.0750	 	 	 	 	 0.049404
 0.1000	 0.000000	 0.000000	 0.000000	 0.000000	 0.065657
 0.1250	 	 	 	 	 0.082218
 0.1500	 0.000000	 0.000000	 0.000000	 0.000000	 0.097720
 0.1750	 	 	 	 	 0.113059
 0.2000	 0.000000	 0.000000	 0.000000	 0.000000	 0.126915
 0.2250	 	 	 	 	 0.140076
 0.2500	 0.000000	 0.000000	 0.000000	 0.000000	 0.151366
 0.2750	 	 	 	 	 0.161401
 0.3000	 0.000000	 0.000000	 0.000000	 0.000000	 0.169240
 0.3250	 	 	 	 	 0.175270
 0.3500	 0.000000	 0.000000	 0.000000	 0.000000	 0.178870
 0.3750	 	 	 	 	 0.180149
 0.4000	 0.000000	 0.000000	 0.000000	 0.000000	 0.178883
 0.4250	 	 	 	 	 0.174861
 0.4500	 0.000000	 0.000000	 0.000000	 0.000000	 0.168322
 0.4750	 	 	 	 	 0.158689
 0.5000	 0.000000	 0.000000	 0.000000	 0.000000	 0.146724
 0.5250	 	 	 	 	 0.131463
 0.5500	 0.000000	 0.000000	 0.000000	 0.000000	 0.114229
 0.5750	 	 	 	 	 0.093668
 0.6000	 0.000000	 0.000000	 0.000000	 0.000000	 0.071668
 0.6250	 	 	 	 	 0.046548
 0.6500	 0.000000	 0.000000	 0.000000	 0.000000	 0.020698
 0.6750	 	 	 	 	-0.007808
 0.7000	 0.000000	 0.000000	 0.000000	 0.000000	-0.036190
 0.7250	 	 	 	 	-0.066594
 0.7500	 0.000000	 0.000000	 0.000000	 0.000000	-0.095906
 0.7750	 	 	 	 	-0.126378
 0.8000	 0.000000	 0.000000	 0.000000	 0.000000	-0.154725
 0.8250	 	 	 	 	-0.183092
 0.8500	 0.000000	 0.000000	 0.000000	 0.000000	-0.208303
 0.8750	 	 	 	 	-0.232205
 0.9000	 0.000000	 0.000000	 0.000000	 0.000000	-0.252009
 0.9250	 	 	 	 	-0.269097
 0.9500	 0.000000	 0.000000	 0.000000	 0.000000	-0.281318
 0.9750	 	 	 	 	-0.289391
 1.0000	 0.000000	 0.000000	 0.000000	 0.000000	-0.292100


 -------- Mode No.  14  (freq = 0.43653E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000


 -------- Mode No.  15  (freq = 0.48450E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.004316	 0.145337	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.011993	 0.137451	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.016002	 0.010334	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.012340	-0.151828	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.001894	-0.245902	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.009947	-0.203629	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	-0.016253	-0.035387	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	-0.012774	 0.166998	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	-0.000990	 0.278345	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.012138	 0.217087	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.018064	 0.006132	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.012203	-0.226892	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.002411	-0.322456	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.016259	-0.197145	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.019311	 0.083032	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	-0.008353	 0.327095	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.009650	 0.345318	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.021510	 0.096813	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.017348	-0.251270	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.000824	-0.421728	 0.000000	 0.000000	 0.000000


 -------- Mode No.  16  (freq = 0.48451E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.004316	 0.145337	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	 0.011993	 0.137451	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	 0.016002	 0.010334	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	 0.012340	-0.151828	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	 0.001894	-0.245902	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	-0.009947	-0.203629	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	-0.016253	-0.035387	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	-0.012774	 0.166998	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	-0.000990	 0.278345	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	 0.012138	 0.217087	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	 0.018064	 0.006132	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	 0.012203	-0.226892	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	-0.002411	-0.322456	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	-0.016259	-0.197145	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	-0.019311	 0.083032	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	-0.008353	 0.327095	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.009650	 0.345318	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.021510	 0.096813	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.017348	-0.251270	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	-0.000824	-0.421728	 0.000000


 -------- Mode No.  17  (freq = 0.58792E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.027259
 0.0500	 0.000000	 0.000000	 0.000000	 0.000000	-0.053627
 0.0750	 	 	 	 	-0.080017
 0.1000	 0.000000	 0.000000	 0.000000	 0.000000	-0.103746
 0.1250	 	 	 	 	-0.125579
 0.1500	 0.000000	 0.000000	 0.000000	 0.000000	-0.143162
 0.1750	 	 	 	 	-0.156973
 0.2000	 0.000000	 0.000000	 0.000000	 0.000000	-0.165370
 0.2250	 	 	 	 	-0.168423
 0.2500	 0.000000	 0.000000	 0.000000	 0.000000	-0.165556
 0.2750	 	 	 	 	-0.156366
 0.3000	 0.000000	 0.000000	 0.000000	 0.000000	-0.141577
 0.3250	 	 	 	 	-0.120321
 0.3500	 0.000000	 0.000000	 0.000000	 0.000000	-0.094675
 0.3750	 	 	 	 	-0.063400
 0.4000	 0.000000	 0.000000	 0.000000	 0.000000	-0.029769
 0.4250	 	 	 	 	 0.007731
 0.4500	 0.000000	 0.000000	 0.000000	 0.000000	 0.044938
 0.4750	 	 	 	 	 0.083439
 0.5000	 0.000000	 0.000000	 0.000000	 0.000000	 0.118715
 0.5250	 	 	 	 	 0.152163
 0.5500	 0.000000	 0.000000	 0.000000	 0.000000	 0.179602
 0.5750	 	 	 	 	 0.201960
 0.6000	 0.000000	 0.000000	 0.000000	 0.000000	 0.216163
 0.6250	 	 	 	 	 0.222402
 0.6500	 0.000000	 0.000000	 0.000000	 0.000000	 0.219460
 0.6750	 	 	 	 	 0.206683
 0.7000	 0.000000	 0.000000	 0.000000	 0.000000	 0.185192
 0.7250	 	 	 	 	 0.153436
 0.7500	 0.000000	 0.000000	 0.000000	 0.000000	 0.115062
 0.7750	 	 	 	 	 0.067718
 0.8000	 0.000000	 0.000000	 0.000000	 0.000000	 0.017380
 0.8250	 	 	 	 	-0.038709
 0.8500	 0.000000	 0.000000	 0.000000	 0.000000	-0.093044
 0.8750	 	 	 	 	-0.148285
 0.9000	 0.000000	 0.000000	 0.000000	 0.000000	-0.196646
 0.9250	 	 	 	 	-0.240209
 0.9500	 0.000000	 0.000000	 0.000000	 0.000000	-0.272353
 0.9750	 	 	 	 	-0.294032
 1.0000	 0.000000	 0.000000	 0.000000	 0.000000	-0.301385


 -------- Mode No.  18  (freq = 0.68537E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.004802	 0.153662	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.011847	 0.097876	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.012399	-0.082113	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.004127	-0.227359	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	-0.007502	-0.204920	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.013386	-0.013310	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	-0.008267	 0.202705	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.004247	 0.259366	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.013768	 0.091437	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.011576	-0.172332	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.001267	-0.299378	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.013702	-0.156223	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.013911	 0.148871	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.000659	 0.334789	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.014084	 0.201702	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.015522	-0.149904	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000981	-0.377160	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	-0.015613	-0.222262	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.016513	 0.189727	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000579	 0.422356	 0.000000	 0.000000	 0.000000


 -------- Mode No.  19  (freq = 0.68539E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.004802	 0.153662	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	 0.011847	 0.097876	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	 0.012399	-0.082113	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	 0.004127	-0.227359	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	-0.007502	-0.204920	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	-0.013386	-0.013310	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	-0.008267	 0.202705	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	 0.004247	 0.259366	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	 0.013768	 0.091437	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	 0.011576	-0.172332	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	-0.001267	-0.299378	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	-0.013702	-0.156223	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	-0.013911	 0.148871	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	-0.000659	 0.334789	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	 0.014084	 0.201702	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.015522	-0.149904	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.000981	-0.377160	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	-0.015613	-0.222262	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	-0.016513	 0.189727	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	 0.000579	 0.422356	 0.000000


 -------- Mode No.  20  (freq = 0.71785E+02 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
=================================================================================
